# SAXS profile: number of points = 51, q_min = 0, q_max = 0.2, delta_q = 0.004
#    q    intensity    error
0.00000    223544101647.81018066 33531615.24717152
0.00400    215414471755.63311768 290809547.92027414
0.00800    192872852427.49621582 442643215.00948042
0.01200    160823854134.82901001 470409793.96892750
0.01600    125590145996.59811401 384305863.92940032
0.02000    92955248448.50787354 380651759.61567551
0.02400    66656321934.52203369 249961218.65207708
0.02800    47829346097.72728729 291280731.09317869
0.03200    35448559836.15270996 245658530.97911143
0.03600    27385484432.05860901 212785223.87069514
0.04000    21529896348.23984528 172131529.28057611
0.04400    16516356802.75283813 122633954.95579986
0.04800    11884124157.40805244 113552811.60743205
0.05200    7793835356.58872795 86745391.56127802
0.05600    4584610074.50373554 54877785.15263549
0.06000    2436100920.32282543 22290324.46233112
0.06400    1258171775.27461147 14720610.45914761
0.06800    773622057.92454994 8807687.54175075
0.07200    673101175.35289645 11055687.32309489
0.07600    729456963.96575081 10110273.99454101
0.08000    825681237.03195107 13041635.75071663
0.08400    918888781.36980748 12887415.76362952
0.08800    990875646.81265306 15873828.60743354
0.09200    1022472188.02289116 17116185.23173667
0.09600    996504371.69244277 14499139.28969746
0.10000    911202168.77813280 20707070.25927813
0.10400    784816401.81132281 12360858.91004608
0.10800    646319500.09921145 11624056.75633211
0.11200    520306575.11400014 10583036.23603760
0.11600    417988253.94605678 8069263.62242226
0.12000    338644637.80341536 7990320.60535490
0.12400    277455826.28978574 6242756.38566306
0.12800    231841450.57202181 5831971.96399568
0.13200    202090447.65825588 4434875.08292188
0.13600    187799303.96060929 4631131.05402994
0.14000    184829988.05735803 6254647.09083383
0.14400    185996016.27293691 4045413.54475805
0.14800    184652884.32342419 4952390.59120146
0.15200    177940283.27598935 4900475.63265953
0.15600    167148721.68945760 5117258.35603133
0.16000    155290684.86383671 4500324.25978025
0.16400    144286405.33929503 3571088.70073717
0.16800    134071162.48311758 4078444.95530592
0.17200    123897632.44365235 3858172.45648942
0.17600    114210385.65108685 3638743.05869819
0.18000    107215815.55391279 2910909.52978564
0.18400    105600559.83629027 3223457.24128116
0.18800    110483248.20784453 3758640.28161211
0.19200    120346231.92406262 4529230.65247435
0.19600    131692211.85445903 5058956.55745684
0.20000    140925048.34683782 5098668.49015749
