# SAXS profile: number of points = 51, q_min = 0, q_max = 0.2, delta_q = 0.004
#    q    intensity    error
0.00000    196285201478.45239258 29442780.22176786
0.00400    189001398122.44815063 255151897.16055652
0.00800    168831623576.88937378 387468592.46786761
0.01200    140243224694.79821777 410211450.21751332
0.01600    108998818834.13964844 333536400.54270566
0.02000    80364804068.32084656 329093887.54655504
0.02400    57714447003.11915588 216429186.13033772
0.02800    41994976645.72297668 255749419.50102052
0.03200    32119356074.16140747 222587147.84588689
0.03600    25958570473.67371750 201698101.90166727
0.04000    21422782574.24929047 171275154.61783817
0.04400    17188655379.67765045 127625772.12129632
0.04800    12880139878.51328659 123069742.26539738
0.05200    8792759242.01251221 97863414.92415877
0.05600    5426251562.75928688 64952234.23717014
0.06000    3099221076.42739773 28357874.17415661
0.06400    1797106881.07102966 21026151.49185516
0.06800    1245023122.47153592 14174588.91283791
0.07200    1089533423.87811637 17895587.32554904
0.07600    1057928742.08775675 14662893.05274152
0.08000    1020915996.73593628 16125368.92490228
0.08400    962543704.84511614 13499676.09410940
0.08800    909736713.70728612 14573982.83803990
0.09200    876850148.97495937 14678472.18353414
0.09600    850480047.27254105 12374485.26951261
0.10000    805609720.82635629 18307481.76672814
0.10400    728034066.73696041 11466537.09055142
0.10800    623766196.48368716 11218435.57171768
0.11200    511986615.42121732 10413808.24791964
0.11600    411399062.75523323 7942059.28049317
0.12000    331063191.99219733 7811436.38301289
0.12400    270406884.89723694 6084155.19685783
0.12800    224950152.11462286 5658621.34312993
0.13200    191597700.93875119 4204611.74530766
0.13600    169758304.81462979 4186239.99411314
0.14000    159130377.49566633 5384972.22841180
0.14400    157437792.18183118 3424272.14147734
0.14800    160354261.45867717 4300701.49522312
0.15200    163390535.21432516 4499775.55213346
0.15600    163852216.57844356 5016335.84729461
0.16000    161210002.06734243 4671866.08043503
0.16400    155995476.13445231 3860888.21659863
0.16800    148584452.06811029 4519939.24532717
0.17200    139005072.40375113 4328618.15906270
0.17600    127723835.86513178 4069281.60285161
0.18000    116414842.55109930 3160663.12455637
0.18400    107731789.07927437 3288513.01699653
0.18800    104040243.48162140 3539449.25047007
0.19200    106086588.67779785 3992568.95354319
0.19600    112553203.23387907 4323731.50655321
0.20000    120880719.17415594 4373464.62641590
