# SAXS profile: number of points = 51, q_min = 0, q_max = 0.2, delta_q = 0.004
#    q    intensity    error
0.00000    188166455567.51458740 28224968.33512719
0.00400    181354290098.90545654 244828300.93649825
0.00800    162461761029.21435547 372849757.30374694
0.01200    135596192281.07327271 396618879.81141794
0.01600    106073027588.82449341 324583478.93181449
0.02000    78782357066.60580444 322613766.78139937
0.02400    56906760930.54202271 213400363.22006658
0.02800    41418152652.63854218 252236561.22203800
0.03200    31413908115.36757278 217698393.26627868
0.03600    25004756063.13308716 194286963.58927017
0.04000    20294701434.53332520 162256145.48787737
0.04400    16051281306.81123352 119180769.23806077
0.04800    11886537548.26648712 113575871.55815732
0.05200    8023335510.85964584 89299728.39734867
0.05600    4881429672.16761875 58430715.90246669
0.06000    2729515638.88887310 24975069.26263852
0.06400    1542726019.48705649 18049895.27213294
0.06800    1062463716.44741225 12096149.97796345
0.07200    957504751.21865046 15727016.27552670
0.07600    968689823.45730066 13426041.58253906
0.08000    968716336.92856741 15300875.25956701
0.08400    937794938.06759346 13152574.62376217
0.08800    900471020.62563848 14425546.42790077
0.09200    873494726.45347202 14622302.40788521
0.09600    848974624.86902249 12352581.37251176
0.10000    806650632.92132568 18331136.49519873
0.10400    733735221.01343083 11556330.27463016
0.10800    634650833.06483746 11414195.76984248
0.11200    526308265.90679538 10705110.63250997
0.11600    426621854.28401643 8235935.28479538
0.12000    345781494.01992780 8158714.73571570
0.12400    285033450.52134758 6413252.93890657
0.12800    240785200.63284737 6056952.00737889
0.13200    209198325.81871867 4590857.47650630
0.13600    187917166.44137332 4634037.54294262
0.14000    175121385.61141559 5926107.96856904
0.14400    168181765.65059412 3657953.57544565
0.14800    163605485.00995639 4387899.31498230
0.15200    158246535.51980135 4358109.79386149
0.15600    150551114.16582388 4609122.57771386
0.16000    140701070.87793291 4077517.22651123
0.16400    129777417.70462209 3211991.23982617
0.16800    118886101.13782996 3616515.36737162
0.17200    108950515.70403884 3392719.21923780
0.17600    101054139.24261102 3219585.02832770
0.18000    96658629.44328427 2624281.91334321
0.18400    97167786.41350245 2966046.82039031
0.18800    103003471.42731799 3504178.26351625
0.19200    112991483.03664295 4252434.66501733
0.19600    124590399.87870561 4786140.43751598
0.20000    134980389.38235968 4883590.71865785
