# SAXS profile: number of points = 51, q_min = 0, q_max = 0.2, delta_q = 0.004
#    q    intensity    error
0.00000    252298988982.70663452 37844848.34740599
0.00400    243148687760.18722534 328250740.94911116
0.00800    217771156518.68395996 499784825.31127244
0.01200    181672357353.68872070 531391668.55776918
0.01600    141953281940.41064453 434377062.15582359
0.02000    105115163013.95379639 430446612.01367992
0.02400    75367845942.66935730 282629435.17222023
0.02800    54004902011.97068024 328889868.33566123
0.03200    39893550921.18338013 276462320.61713898
0.03600    30660510464.40723419 238232177.31804276
0.04000    23948929032.86445618 191471696.49035344
0.04400    18233899003.53773117 135386706.38889036
0.04800    13002060776.86239815 124234696.50332625
0.05200    8432677320.12745285 93855702.94681357
0.05600    4898654216.72198868 58636893.71040361
0.06000    2585921765.37596416 23661185.25861231
0.06400    1370852990.10829449 16038980.73435755
0.06800    917805254.33779836 10449213.30975390
0.07200    859957729.27435315 14124806.36503322
0.07600    933919632.55850101 12944126.71408924
0.08000    1013497187.95716929 16008188.83474461
0.08400    1066355165.08263195 14955631.89228117
0.08800    1091574636.15707707 17487026.49249306
0.09200    1083257786.96258020 18133736.20579845
0.09600    1029158058.40095937 14974250.45364030
0.10000    925728535.00756395 21037181.94736617
0.10400    787108700.64582825 12396962.61838805
0.10800    639521097.74610889 11501787.48425736
0.11200    507358169.81614983 10319665.65988060
0.11600    403085554.71706450 7781567.00025850
0.12000    326733640.21101320 7709280.60392381
0.12400    272443898.66666847 6129988.00882956
0.12800    234946927.05093890 5910090.22850450
0.13200    211505615.53272334 4641490.95166701
0.13600    199896927.51971442 4929458.46506383
0.14000    196166196.46732843 6638264.40151884
0.14400    194933590.27346861 4239805.78843907
0.14800    191739414.70347792 5142451.34496131
0.15200    185000157.20474735 5094904.56983205
0.15600    175830013.06222972 5383036.10395211
0.16000    166040480.01633096 4811853.33800446
0.16400    156328193.64077535 3869122.97526888
0.16800    146227466.08011377 4448239.72818692
0.17200    135546356.94784096 4220913.75467954
0.17600    125656364.01070380 4003411.94645857
0.18000    119251349.44786072 3237674.29044107
0.18400    118640416.74825664 3621498.89232270
0.18800    123945005.31859294 4216609.28015704
0.19200    132749169.18999501 4996015.21853392
0.19600    141414816.02591494 5432450.41435328
0.20000    147121189.84115547 5322844.90001674
