# SAXS profile: number of points = 201, q_min = 0, q_max = 0.2, delta_q = 0.001
#    q    intensity    error
0.00000    188166455567.51458740 28224968.33512719
0.00100    187732797167.47463989 101375712.87798023
0.00200    186438193307.96679688 142625222.39681751
0.00300    184301638734.95669556 165871480.77031523
0.00400    181354290098.90545654 163218867.29099882
0.00500    177638846674.22637939 207837458.83530253
0.00600    173208514184.55569458 181868947.29805014
0.00700    168125944078.57629395 282451597.79077232
0.00800    162461761029.21435547 307052741.30896807
0.00900    156293211265.43218994 328215757.68787777
0.01000    149702310558.96664429 321111470.01441592
0.01100    142774404093.57229614 282693332.41355103
0.01200    135596192281.07327271 343736362.50322890
0.01300    128254240308.20223999 377067483.13659078
0.01400    120833087380.78796387 380624242.12291729
0.01500    113413951514.43598938 272193495.75511205
0.01600    106073027588.82449341 324583478.93181449
0.01700    98880564730.30906677 293675290.42291027
0.01800    91899434396.40982056 392870099.72285706
0.01900    85184627313.28518677 306664672.16532683
0.02000    78782357066.60580444 322613766.78139937
0.02100    72729962617.48901367 264009776.27128553
0.02200    67055361738.52915955 277609210.20994747
0.02300    61777621357.29529572 266879336.41143304
0.02400    56906760930.54202271 213400363.22006658
0.02500    52444667720.91108704 306801320.17913765
0.02600    48385342064.19755554 195960644.32290378
0.02700    44716119333.69294739 206588480.78364351
0.02800    41418152652.63854218 216202766.76174688
0.02900    38467890902.17382050 190416068.70856205
0.03000    35837639979.22722626 216638543.63227847
0.03100    33497073165.45877838 192943150.31096545
0.03200    31413908115.36757278 202148508.03297308
0.03300    29555313010.15641785 165805313.63067961
0.03400    27888389334.69895554 175696860.91532320
0.03500    26381545730.56175232 227936565.63772550
0.03600    25004756063.13308716 138776402.56376442
0.03700    23730628038.22132111 162317503.28821519
0.03800    22534500699.14619827 158192202.22907278
0.03900    21395155821.95082474 166882223.13953435
0.04000    20294701434.53332520 149774903.52727142
0.04100    19219054656.16345596 121080049.94789486
0.04200    18157523458.60853577 140539238.08964688
0.04300    17102939916.67625809 135455290.42763442
0.04400    16051281306.81123352 130015384.62333901
0.04500    15001477756.41335869 103510201.32884289
0.04600    13954825326.30381966 108219675.43627958
0.04700    12914834758.31700325 111584177.50140679
0.04800    11886537548.26648712 113575871.55815732
0.04900    10876201423.55352020 106042968.81568193
0.05000    9890733388.33627129 90796936.73298861
0.05100    8937418812.74355698 111538991.97897607
0.05200    8023335510.85964584 76542624.34058458
0.05300    7155250516.50043106 69549038.26261197
0.05400    6339083921.44823742 62756933.74893555
0.05500    5579860532.97115135 51557913.72979300
0.05600    4881429672.16761875 58430715.90246669
0.05700    4246481593.71103477 48027709.06673454
0.05800    3676305438.19471455 32535304.64717493
0.05900    3171034572.37766266 31393243.73278621
0.06000    2729515638.88887310 29970083.11516622
0.06100    2349544498.75303936 26220917.83142310
0.06200    2027879641.02904987 24912502.55453997
0.06300    1760512149.29603004 18591009.16579431
0.06400    1542726019.48705649 18049895.27213294
0.06500    1369460812.50287414 20336494.01696394
0.06600    1235303044.03797936 13656275.79079696
0.06700    1134768855.88845921 11574642.87174350
0.06800    1062463716.44741225 14295449.97395680
0.06900    1013210249.19597208 15958062.17197570
0.07000    982152482.15157998 12551909.30968391
0.07100    964878506.71911371 14588963.70490741
0.07200    957504751.21865046 12581613.02042136
0.07300    956703331.55390751 11681348.22560969
0.07400    959675636.21357739 12955621.69603749
0.07500    964223213.46079147 10992145.14868216
0.07600    968689823.45730066 14544878.38108398
0.07700    971918858.04271936 13645741.40674823
0.07800    973168614.25351810 13838458.34365635
0.07900    972109408.17762649 12831844.78980607
0.08000    968716336.92856741 16477865.66414909
0.08100    963185702.00131774 15401340.09760441
0.08200    955875437.54080427 17850974.63373491
0.08300    947244263.86318576 13128806.11330492
0.08400    937794938.06759346 11956886.02160197
0.08500    928013788.22347486 15562791.95910533
0.08600    918323642.98915243 11984124.10368106
0.08700    909063215.48732603 14399562.00948963
0.08800    900471020.62563848 14425546.42790077
0.08900    892663571.21726298 14461150.53295556
0.09000    885655428.16118205 16924876.02721468
0.09100    879330963.60255837 15775198.22816721
0.09200    873494726.45347202 19496403.21051361
0.09300    867882006.40357089 12237136.86533981
0.09400    862156673.84798741 14742879.81567872
0.09500    855971561.78382659 16023788.38975430
0.09600    848974624.86902249 13587839.50976294
0.09700    840816720.67489696 12360006.37499926
0.09800    831199303.34478426 12343310.23502382
0.09900    819877430.72716343 13527978.24311721
0.10000    806650632.92132568 13442833.42981241
0.10100    791416702.86606109 13319543.73567776
0.10200    774150004.88159859 14352741.76560483
0.10300    754881272.39826155 21197067.12606896
0.10400    733735221.01343083 12711963.30209318
0.10500    710899014.88660061 13563953.84221169
0.10600    686571708.94673216 12121424.09181057
0.10700    661061968.90881443 17134727.04043660
0.10800    634650833.06483746 10376541.60894770
0.10900    607658985.06399477 15039560.58818063
0.11000    580404599.12559664 11596484.43637066
0.11100    553196166.75604343 9293696.03898707
0.11200    526308265.90679538 11597203.18521914
0.11300    500005754.65499347 11970138.33000429
0.11400    474516901.91321409 12278125.41511292
0.11500    450005431.53140116 8613104.36508478
0.11600    426621854.28401643 8984656.67432224
0.11700    404471829.13614470 7875066.88415645
0.11800    383595031.00559109 7531888.78853402
0.11900    364034874.19751757 9173679.26187275
0.12000    345781494.01992780 7531121.29450680
0.12100    328814275.59429717 7822491.98489127
0.12200    313074734.40903419 7509097.85856398
0.12300    298505001.08468252 6662631.93811605
0.12400    285033450.52134758 8551003.91854209
0.12500    272594967.06508374 8243272.19247512
0.12600    261124156.86453870 4974415.42268110
0.12700    250538555.73669982 6253442.64589011
0.12800    240785200.63284737 6988790.77774487
0.12900    231822265.98062146 5876694.71958962
0.13000    223593224.78667152 5272328.48898025
0.13100    216062973.41091710 4278047.07519312
0.13200    209198325.81871867 5008208.15618869
0.13300    202979328.47686413 4079884.69472293
0.13400    197375438.76558012 4396538.10578080
0.13500    192365760.87068295 4316687.87746220
0.13600    187917166.44137332 6564886.51916871
0.13700    184005035.37641627 4189794.85308350
0.13800    180590146.83764505 4141835.21303270
0.13900    177648447.18717203 5222864.59360365
0.14000    175121385.61141559 4074199.22839121
0.14100    172968018.21579298 5157906.54645709
0.14200    171129922.09441113 5506105.50308479
0.14300    169555456.09438658 6592316.44389353
0.14400    168181765.65059412 4023748.93299022
0.14500    166955103.50819340 4021948.63323624
0.14600    165822510.45740861 4753302.48649551
0.14700    164717729.03468627 3656733.75708201
0.14800    163605485.00995639 4022241.03873378
0.14900    162427769.47817540 5481937.47853061
0.15000    161160716.24488792 4015319.43469578
0.15100    159771259.90401858 4735620.36700520
0.15200    158246535.51980135 4358109.79386149
0.15300    156556548.36232090 6147975.94430533
0.15400    154714505.51250169 4676246.14979216
0.15500    152707113.99827603 4645350.62705549
0.15600    150551114.16582388 3900026.79652711
0.15700    148256215.18113875 4216406.95875264
0.15800    145836777.73706260 4521669.50715465
0.15900    143308954.18946701 5503064.10062340
0.16000    140701070.87793291 4757103.43092977
0.16100    138023989.23351288 4024779.71603596
0.16200    135301261.68654922 4300550.80571900
0.16300    132541296.18369488 4890774.06006117
0.16400    129777417.70462209 4175588.61177402
0.16500    127012397.36999266 3795130.61258851
0.16600    124272276.68705976 4980833.08477759
0.16700    121557034.03480795 3982208.62299920
0.16800    118886101.13782996 4219267.92860022
0.16900    116278204.31251667 3558113.21997019
0.17000    113741148.04950704 3792698.76080086
0.17100    111292862.61284530 3445627.18920069
0.17200    108950515.70403884 3675445.82084095
0.17300    106733967.46189766 2785756.68231143
0.17400    104666063.51363307 3296981.15638279
0.17500    102765530.69147047 2713010.13838372
0.17600    101054139.24261102 2682987.52360641
0.17700    99566543.31917402 3190112.19861728
0.17800    98317024.55616042 2903793.45741846
0.17900    97344915.04163601 4468131.81145693
0.18000    96658629.44328427 4461279.25268345
0.18100    96292649.32540804 3417426.28598590
0.18200    96240257.23452058 5019410.85317285
0.18300    96535110.48998491 3463679.92800251
0.18400    97167786.41350245 4044609.30053224
0.18500    98145037.52350837 3285896.01151964
0.18600    99453314.42951210 3347598.72184950
0.18700    101082864.26564600 2850536.90696427
0.18800    103003471.42731799 4088207.97410230
0.18900    105194939.46469995 2998055.91639448
0.19000    107613552.39537093 3699754.10616169
0.19100    110234090.19810712 3174741.94771225
0.19200    112991483.03664295 3598213.94732236
0.19300    115860252.85664211 3371533.51744207
0.19400    118775891.57519165 4169033.99129223
0.19500    121701226.68983838 5367024.35064123
0.19600    124590399.87870561 5890634.38463505
0.19700    127399113.29524091 6432381.53425539
0.19800    130084987.20852436 3883037.05168200
0.19900    132625039.75350977 5570251.93289730
0.20000    134980389.38235968 7325386.07798678
