# SAXS profile: number of points = 201, q_min = 0, q_max = 0.2, delta_q = 0.001
#    q    intensity    error
0.00000    239734210633.83535767 35960131.59507530
0.00100    239171552841.31533813 129152641.60152087
0.00200    237491981444.93084717 181681371.55830663
0.00300    234720539298.05102539 211248492.89356941
0.00400    230898290054.29638672 207808468.94516453
0.00500    226081476170.21038818 264515337.58898273
0.00600    220340128415.23239136 231357144.25502905
0.00700    213756630512.59167480 359111154.18590993
0.00800    206423745162.87466431 390140894.82956409
0.00900    198442789007.64810181 416729874.73030645
0.01000    189921168823.23327637 407380924.71633971
0.01100    180970439151.48974609 358321485.12102658
0.01200    171703692887.97393799 435268880.55485541
0.01300    162233570917.99526978 476966719.53541553
0.01400    152669781232.19985962 480909832.20062053
0.01500    143117389631.02883911 343481750.40931952
0.01600    133674615269.86541748 409044341.01149440
0.01700    124431630708.88917542 369561959.78347069
0.01800    115468746946.37667847 493628915.40786856
0.01900    106855787105.74530029 384680850.93847430
0.02000    98650988943.33103943 403975817.99705577
0.02100    90900933356.90966797 329970403.04593676
0.02200    83639925665.87768555 346269307.98855942
0.02300    76890789438.58261108 332168225.49443930
0.02400    70664717071.38436890 264992701.10070965
0.02500    64962511188.38912964 380030707.80831605
0.02600    59774996419.09962463 242088746.57007745
0.02700    55084644072.46936035 254491067.27078226
0.02800    50866272816.36643982 265521956.27816510
0.02900    47088975792.40119934 233090440.87454724
0.03000    43716894700.53639221 264268640.61192286
0.03100    40711161523.86591339 234496301.16738206
0.03200    38030775367.80019379 244728050.76351127
0.03300    35634384203.94503021 199908904.60002515
0.03400    33480879949.83335876 210929553.41631970
0.03500    31531101156.38535690 272428726.57140374
0.03600    29748114158.47118759 165102041.20949695
0.03700    28098505714.16091919 192193787.97334602
0.03800    26552437386.06622314 186398119.07660887
0.03900    25084472022.15288925 195658890.83375829
0.04000    23673354854.37146378 174709366.92111436
0.04100    22302542001.52956390 140506021.12441674
0.04200    20959612048.64758682 162227404.78272519
0.04300    19636369743.77317429 155520055.58960751
0.04400    18328317527.63722610 148459378.86860463
0.04500    17034374054.73855782 117537186.43904917
0.04600    15756116533.26892281 122188689.39566962
0.04700    14497572070.79517555 125259028.51720704
0.04800    13264358277.85198402 126740949.24189296
0.04900    12063337329.28601074 117617544.43534128
0.05000    10901908624.88149834 100079525.83672802
0.05100    9787713354.68293762 122150668.35671425
0.05200    8727964228.10027885 83264782.61632134
0.05300    7729363111.33091831 75129412.94450949
0.05400    6797505621.74088669 67295308.79347472
0.05500    5936876749.14943218 54856743.72116837
0.05600    5150567718.84603977 61652298.47153984
0.05700    4440350796.09488297 50220369.84804605
0.05800    3806436521.53518820 33686964.78851191
0.05900    3247814697.88862467 32153367.01084692
0.06000    2762129417.67165661 30328182.42293115
