# SAXS profile: number of points = 51, q_min = 0, q_max = 0.2, delta_q = 0.004
#    q    intensity    error
0.00000    49202640141.80117035 7380396.02127018
0.00400    47450476565.37844086 64058145.79733973
0.00800    42620940071.12536621 97815061.59298021
0.01200    35842651622.91996002 104839760.59361431
0.01600    28554614458.87148285 87377124.15020838
0.02000    22040584530.82933807 90256197.73654535
0.02400    17074630883.54348564 64029868.73289329
0.02800    13800017385.01662445 84042109.72888929
0.03200    11851839772.99113846 82133253.40973285
0.03600    10631064751.32841682 82603376.93523231
0.04000    9590588784.29566383 76676760.88356632
0.04400    8417028203.82337475 62496437.31584499
0.04800    7062480696.79697227 67482006.19770551
0.05200    5656888144.26768112 62961167.97976973
0.05600    4375893877.23567963 52379452.15475424
0.06000    3337459226.41627073 30537753.34839614
0.06400    2564494338.15307236 30004585.15960695
0.06800    2007272257.89605856 22852795.72586498
0.07200    1592238054.90914392 26152511.27704412
0.07600    1262332694.67936277 17495931.96847574
0.08000    991095069.18363607 15654347.35211757
0.08400    773796978.24818254 10852503.12933267
0.08800    610374391.82947218 9778198.21632919
0.09200    494102862.72040778 8271282.31058009
0.09600    410995240.18450010 5979981.02579014
0.10000    346122592.83790284 7865636.29214002
0.10400    289826459.17908162 4564766.94682042
0.10800    239405069.34231043 4305700.37475500
0.11200    196312718.44090888 3993000.88106706
0.11600    162192518.44756693 3131126.71607970
0.12000    136636601.98570317 3223940.77571610
0.12400    117553699.60209368 2644958.36567085
0.12800    102780181.92358965 2585435.59813754
0.13200    91264513.92427735 2002799.85248090
0.13600    82988694.08972545 2046501.29274671
0.14000    78106689.66390815 2643130.50287824
0.14400    76268133.84433101 1658831.98936111
0.14800    76606284.77342968 2054580.65455577
0.15200    78197396.13267680 2153556.39111380
0.15600    80444787.89831439 2462817.29773935
0.16000    83021803.97245036 2405971.99268935
0.16400    85533080.50281852 2116943.84238480
0.16800    87315609.49290192 2656140.96618749
0.17200    87629060.64929013 2728769.07747928
0.17600    86076527.36754252 2742398.29145091
0.18000    82915322.22078188 2251151.10462742
0.18400    78967482.60772960 2410482.52047384
0.18800    75178703.20944697 2557579.60402115
0.19200    72162426.32879893 2715833.04321112
0.19600    69998557.61159040 2688994.71772131
0.20000    68401289.44231068 2474758.76898273
